Food Category;Food;r1;r2;r3;r4;r5;r6
Misc;cereals (like Kelloggs etc);;;x;;;;
Misc;Hummus;;;;x;;;
Misc;Microwaved foods;;;x;;;;
Misc;POPCORN;;;;x;;;
Misc;Rice milk;;;;x;;;
Misc;Royal Jelly;;;;;x;;
Misc;Soy Protein Powder;;;;x;;;
Misc;Tempeh;;;;x;;;
Misc;Whey protein powder;;;;x;;;
Nuts;Almond;;;;;x;;
Nuts;Almond butter (raw);;;;;x;;
Nuts;Brazil nuts;;;;x;;;
Nuts;Cashews;;;;x;;;
Nuts;Filberts;;;;x;;;
Nuts;Hazelnut;;;;x;;;
Nuts;Macadamia nuts (raw);;;;x;;;
Nuts;Peanut butter (raw, organic);;;x;;;;
Nuts;Peanuts;;;x;;;;
Nuts;pine nuts (raw);;;;;x;;
Nuts;Pistachios;;;x;;;;
Nuts;Walnuts;;;;x;;;
Roots;Carrot;;;;;x;;
Roots;Fresh red beet;;;;;;x;
Roots;Kohlrabi;;;;;x;;
Roots;Potatoes;;;;;x;;
Roots;Red radish;;;;;;x;
Roots;Rutabaga;;;;;x;;
Roots;Summer black radish;;;;;;;x
Roots;sweet potatoes;;;;x;;;
Roots;Turnip;;;;;x;;
Roots;White radish (spring);;;;;x;;
Roots;Yams;;;;;x;;
Seeds;Barley;;;;x;;;
Seeds;Caraway seeds;;;;;x;;
Seeds;Cumin seeds;;;;;x;;
Seeds;Fennel seeds;;;;;x;;
Seeds;Flax seeds;;;;x;;;
Seeds;Pumpkin seeds;;;;x;;;
Seeds;Sesame seeds;;;;;x;;
Seeds;Sunflower seeds;;;;x;;;
Seeds;Wheat Kernel;;;x;;;;
Sweets & Sweeteners;Agave nectar;;;;x;;;
Sweets & Sweeteners;Alcohol sugars (xylitol and the other sacharides.;;;x;;;;
Sweets & Sweeteners;Artificial sweeteners;;x;;;;;
Sweets & Sweeteners;Barley malt syrup;;;;x;;;
Sweets & Sweeteners;Beet sugar;;;x;;;;
Sweets & Sweeteners;Brown rice syrup;;;;x;;;
Sweets & Sweeteners;Chocolates;;;x;;;;
Sweets & Sweeteners;Dr. Bronner’s barley malt sweetener;;;;x;;;
Sweets & Sweeteners;Dried sugar cane juice;;;;x;;;
Sweets & Sweeteners;Fructose;;;;x;;;
Sweets & Sweeteners;Halva [ground sesame seed sweet];;;x;;;;
Sweets & Sweeteners;Honey;;;;x;;;
Sweets & Sweeteners;Maple Syrup;;;;x;;;
Sweets & Sweeteners;Milk sugar;;;;x;;;
Sweets & Sweeteners;Molasses;;;x;;;;
Sweets & Sweeteners;Sugar (white);;;x;;;;
Sweets & Sweeteners;Sugarcane;;;x;;;;
Sweets & Sweeteners;Turbinado sugar;;;;x;;;
Sweets & Sweeteners;Xylitol;;;x;;;;
Vegetables;Alfalfa;;;;;;x;
Vegetables;Alfalfa grass;;;;;;;x
Vegetables;Artichokes;;;;;x;;
Vegetables;Asparagus;;;;;x;;
Vegetables;Aubergine/Egg plant;;;;;x;;
Vegetables;Barley grass;;;;;;;x
Vegetables;Basil;;;;;x;;
Vegetables;Bell peppers/capsicums (all colors);;;;;x;;
Vegetables;Blue-Green Algae;;;;x;;;
Vegetables;Bok Choy;;;;;x;;
Vegetables;Brussels sprouts;;;;;x;;
Vegetables;Cabbage lettuce, fresh;;;;;;x;
Vegetables;Canned vegetables;;;x;;;;
Vegetables;Cauliflower;;;;;x;;
Vegetables;Cayenne pepper;;;;;;x;
Vegetables;Celery;;;;;;x;
Vegetables;Chives;;;;;x;;
Vegetables;Cilantro;;;;;;x;
Vegetables;Comfrey;;;;;x;;
Vegetables;Cooked vegetables (all kinds);;;;x;;;
Vegetables;Cucumber, fresh;;;;;;;x
Vegetables;Dandelion;;;;;;;x
Vegetables;Dog grass;;;;;;;x
Vegetables;Endive, fresh;;;;;;x;
Vegetables;French cut (green) beans;;;;;;x;
Vegetables;Frozen vegetables;;;x;;;;
Vegetables;Garlic;;;;;;x;
Vegetables;Ginger;;;;;;x;
Vegetables;Ginseng;;;;;x;;
Vegetables;Green cabbage, (December Harvest);;;;;x;;
Vegetables;Green cabbage, (March Harvest);;;;;x;;
Vegetables;Horse radish;;;;;x;;
Vegetables;Jicama;;;;;;;x
Vegetables;Kale;;;;;;;x
Vegetables;Kamut grass;;;;;;;x
Vegetables;Lamb’s lettuce;;;;;x;;
Vegetables;Leeks (bulbs);;;;;x;;
Vegetables;Lettuce;;;;;x;;
Vegetables;Mushrooms;;;x;;;;
Vegetables;Mustard greens;;;;;x;;
Vegetables;Onion;;;;;x;;
Vegetables;Oregano;;;;;;x;
Vegetables;Parsnips;;;;;x;;
Vegetables;Peas, fresh;;;;;x;;
Vegetables;Peas, ripe;;;;;x;;
Vegetables;Peppers;;;;;x;;
Vegetables;Pickled vegetables;;x;;;;;
Vegetables;Pumpkins (raw);;;;;x;;
Vegetables;Raw onions;;;;;x;;
Vegetables;Red cabbage;;;;;x;;
Vegetables;Rhubarb stalks;;;;;x;;
Vegetables;Savoy Cabbage;;;;;x;;
Vegetables;Sea Vegetables;;;;;x;;
Vegetables;Seaweed (dulse, kelp, laver, etc);;;;;x;;
Vegetables;Shave grass;;;;;;;x
Vegetables;Sorrel;;;;;;x;
Vegetables;Sourkraut;;;x;;;;
Vegetables;Soy Sprouts;;;;;;;x
Vegetables;Spinach (March harvest);;;;;x;;
Vegetables;Spinach (other than March);;;;;;x;
Vegetables;Sprouted seeds (all kinds);;;;;;;x
Vegetables;Squash (all kinds, raw);;;;;x;;
Vegetables;Straw grass;;;;;;;x
Vegetables;Thyme;;;;;x;;
Vegetables;Tomatoes (puree);;;;;x;;
Vegetables;Tomatoes (raw);;;;;x;;
Vegetables;Tomatoes (sundried);;;;;x;;
Vegetables;Watercress;;;;;x;;
Vegetables;Wheat grass;;;;;;;x
Vegetables;White cabbage;;;;;x;;
Vegetables;Yeast;;;;x;;;
Vegetables;Zucchini;;;;;x;;
